CODI,PATH,PRESENCE,ERROR
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01134.png,0,0.006794511340558529
B22-270,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-270_0/01133.png,0,0.01222201157361269
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01236.png,0,0.016298023983836174
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00285.png,0,0.09313780069351196
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01549.png,0,0.06060601770877838
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01092.png,0,0.1382780522108078
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug8.png,1,0.1746927946805954
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug6.png,1,0.17270824313163757
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01371.png,0,0.033044446259737015
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653.png,1,0.1665416657924652
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01539.png,0,0.1485498547554016
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00435.png,0,0.12003074586391449
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug3.png,1,0.1702001690864563
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug5.png,1,0.17708443105220795
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug4.png,1,0.17361944913864136
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01729.png,0,0.020779674872756004
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug2.png,1,0.1749447137117386
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01239.png,0,0.1287078857421875
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/00390.png,0,0.02739611268043518
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01650.png,0,0.016493748873472214
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug1.png,1,0.16992667317390442
B22-47,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-47_0/01653_Aug7.png,1,0.18052376806735992
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582_Aug7.png,1,0.10114201158285141
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug8.png,1,0.025756310671567917
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00099.png,1,0.0996592789888382
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug4.png,1,0.14154386520385742
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627_Aug1.png,1,0.16554637253284454
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627_Aug7.png,1,0.13772067427635193
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01522.png,0,0.007675066590309143
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582_Aug4.png,1,0.061122193932533264
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00739_Aug6.png,1,0.1723533421754837
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/03689.png,0,0.002177185146138072
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00099_Aug3.png,1,0.09965845942497253
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01982_Aug5.png,1,0.149759441614151
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01006.png,0,0.0033424326684325933
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01982.png,1,0.1567334681749344
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00739_Aug4.png,1,0.23388494551181793
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/02891.png,0,0.019971953704953194
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug5.png,1,0.14396977424621582
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582_Aug2.png,1,0.10157470405101776
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01534.png,0,0.01415802352130413
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00739.png,1,0.17046628892421722
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00582.png,1,0.08295650780200958
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00099_Aug4.png,1,0.10430347919464111
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug1.png,1,0.15821920335292816
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00739_Aug7.png,1,0.16414158046245575
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01982_Aug3.png,1,0.15528497099876404
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug7.png,1,0.1593012660741806
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01982_Aug7.png,1,0.16933391988277435
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/03675.png,0,0.00503792567178607
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01978_Aug3.png,1,0.1626705825328827
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00099_Aug1.png,1,0.09965857863426208
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/01982_Aug8.png,1,0.01276840828359127
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627.png,1,0.16368204355239868
B22-84,/fhome/maed/HelicoDataSet/CrossValidation/Annotated/B22-84_0/00627_Aug8.png,1,0.19830824434757233
